"ICode","ACode","KurzD","KurzE","LangD","LangE","Sort","Farbe","Zu_1","Zu_2","Zu_3","BFH_Bemerkung","Konv_Ba2_Ba3","AutoKonv_Ba2_Ba3","Gattung","Art","BaGr","ba_str","ba_tarif","ba_ekh","ba_ln","ba_BWI1","Zu_2k","Zu_2l","BaEFDAC_2010","Zu_Ba1","Zu_Ba2","Zu_Ba3","Zu_Ba3korr","Zu_BaEU","Zu_BaStf","Zu_BaGattung","Zu_BaFBa","Zu_BaBWI","Zu_BaBWIb","Zu_BaBWIc","Zu_BaBWId","Zu_BaStammhoehe","Zu_BaWSE","Zu_BaWehamDF","Zu_BaWehamW","Zu_BaWehamW2012","Zu_BaBDat20","Zu_BaLN","Zu_Ba_EiBuFiKi","Zu_Ba_LhNh","Konv_Ba1_Ba2","bart_bze","bart_bze_genau","Zu_2yz","Konv_Ba2_Ba2yz","Zu_ba_ehk2012","Zu_Wachs2012","Zu_BaVerj_BBuBE","VerjMinN_ha_BBuBE","Zu_BaAlle","Zu_BaHolz_Alle"
-1,,"Angabe fehlt","missing","Angabe fehlt","missing data",,,0,0,0,"",-1,-1,"-","-","-  ","-  ","-  ",,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,,0,-1,,,,,9999,9999
10,"10 ","GFI","GFI","Gemeine Fichte","Norway spruce (Picea abies)",3201,,0,1,1,"",10,10,"Picea","abies","FI ","FI ","FI ","FI ","N","FI ",1,1,"26004001",30914,10,10,10,30001,32001,32019,30221,5,5,5,15,,30014,30101,30101,30101,1,32000,31103,32000,10,"GFi","GFi",1,10,"0  ",1,12010,4000,9999,9999
11,"11 ","OFI","OFI","Omorikafichte","Serbian spruce (Picea omorika)",3202,,0,1,0,"",19,19,"Picea","omorika","FI ","FI ","FI ","FI ","N","FI ",1,1,"26004007",30914,11,,19,30001,32001,32019,30221,5,5,5,15,,30012,30101,30101,30101,1,32000,31103,32000,11,"Fi ",,1,11,"0  ",1,,,9999,9999
12,"12 ","SFI","SFI","Sitkafichte","sitka spruce (Picea sitchensis)",3203,,0,1,1,"BWI2 Code 19 (kurze Liste) oder 12 (lange Liste), evtl. beim Einzelbaum anhand BWI1-Codierung 927 bzw. 'SFI' rekonstruierbar",12,12,"Picea","sitchensis","FI ","FI ","FI ","FI ","N","FI ",0,1,,30914,12,12,12,30000,32001,32019,30221,5,5,5,15,,30012,30101,30101,30101,2,32000,31103,32000,12,"SFi","SFi",0,19,"0  ",1,12010,4000,9999,9999
13,"13 ","SWFI","SWFI","Schwarzfichte","black spruce (Picea mariana)",3204,,0,1,0,"",19,19,"Picea","mariana","FI ","FI ","FI ","FI ","N","FI ",0,1,,30914,13,,19,30000,32001,32019,30221,5,5,5,15,,30012,30101,30101,30101,1,32000,31103,32000,13,"Fi ",,0,19,"0  ",1,,,9999,9999
14,"14 ","EFI","EFI","Engelmannsfichte","Engelmann spruce (Picea engelmannii)",3205,,0,1,0,"",19,19,"Picea","engelmannii","FI ","FI ","FI ","FI ","N","FI ",0,1,,30914,14,,19,30000,32001,32019,30221,5,5,5,15,,30012,30101,30101,30101,1,32000,31103,32000,14,"Fi ",,0,19,"0  ",1,,,9999,9999
15,"15 ","BFI","BFI","Blaufichte, Stechfichte","blue spruce (Picea pungens)",3206,,0,1,0,"",19,19,"Picea","pungens","FI ","FI ","FI ","FI ","N","FI ",0,1,,30914,15,,19,30000,32001,32019,30221,5,5,5,15,,30012,30101,30101,30101,1,32000,31103,32000,15,"Fi ",,0,19,"0  ",1,,,9999,9999
16,"16 ","WFI","WFI","Weißfichte","white spruce (Picea glauca)",3207,,0,1,0,"",19,19,"Picea","glauca","FI ","FI ","FI ","FI ","N","FI ",0,1,,30914,16,,19,30000,32001,32019,30221,5,5,5,15,,30012,30101,30101,30101,1,32000,31103,32000,16,"Fi ",,0,19,"0  ",1,,,9999,9999
19,"19 ","SOFI","SOFI","Sonstige Fichten","other spruces",3208,,0,1,1,"Achtung: Bei BWI2 (lange Liste) war unter Icode=19 auch Sitkafichte enthalten, sie ist bei BWI3 separat mit Icode=12 heraus zu lösen",19,19,"Picea","(sonstige)","FI ","FI ","FI ","FI ","N","FI ",1,0,"26004999",30914,19,19,19,30000,32001,32019,30221,5,5,5,15,,30012,30101,30101,30101,1,32000,31103,32000,19,"Fi ",,1,19,"0  ",1,12010,4000,9999,9999
20,"20 ","KI","KI","Gemeine Kiefer","Scots pine (Pinus sylvestris)",3261,,0,1,1,"",20,20,"Pinus","sylvestris","KI ","KI ","KI ","KI ","N","KI ",1,1,"26007007",30918,20,20,20,30001,32003,32029,30222,8,8,8,18,,30015,30101,30104,30102,5,32000,31104,32000,20,"GKi","GKi",1,20,"3  ",2,12020,8000,9999,9999
